experiment,lr,batch_size,optimizer,activation,padding,epochs_run,best_val_acc,final_train_loss,final_val_loss,test_accuracy,macro_precision,macro_recall,macro_f1,training_time_s,trainable_params,lr_label,bs_label,epoch_label
lr_0.01,0.01,32,Adam,ReLU,none,5,90.4667,0.2843,0.2876,90.48,90.506,90.48,90.267,582.24,4338054,0.01,,
lr_0.001,0.001,32,Adam,ReLU,none,5,93.7333,0.1521,0.1691,93.54,93.5803,93.54,93.4482,561.8,4338054,0.001,,
lr_0.0001,0.0001,32,Adam,ReLU,none,5,94.7,0.0887,0.1705,93.97,94.1777,93.97,94.0236,541.65,4338054,0.0001,,
bs_16,0.001,16,Adam,ReLU,none,5,93.5333,0.166,0.1739,93.6,93.5664,93.6,93.547,1061.13,4338054,,16,
bs_32,0.001,32,Adam,ReLU,none,5,93.7333,0.1521,0.1691,93.54,93.5803,93.54,93.4482,552.2,4338054,,32,
bs_64,0.001,64,Adam,ReLU,none,5,93.8333,0.1384,0.173,93.57,93.7035,93.57,93.5495,362.66,4338054,,64,
opt_SGD,0.001,32,SGD,ReLU,none,5,94.0333,0.1716,0.1734,93.21,93.2217,93.21,93.1989,552.13,4338054,,,
opt_Adam,0.001,32,Adam,ReLU,none,5,93.7333,0.1521,0.1691,93.54,93.5803,93.54,93.4482,578.54,4338054,,,
opt_RMSprop,0.001,32,RMSprop,ReLU,none,5,93.9667,0.1552,0.1683,93.35,93.3542,93.35,93.3148,548.0,4338054,,,
epochs_3,0.001,32,Adam,ReLU,none,3,93.2667,0.1882,0.2016,93.3,93.3131,93.3,93.2664,327.39,4338054,,,3
epochs_5,0.001,32,Adam,ReLU,none,5,93.7333,0.1521,0.1691,93.54,93.5803,93.54,93.4482,543.01,4338054,,,5
epochs_8,0.001,32,Adam,ReLU,none,8,94.8667,0.1059,0.1686,94.29,94.3021,94.29,94.2894,911.41,4338054,,,8
act_ReLU,0.001,32,Adam,ReLU,none,5,93.7333,0.1521,0.1691,93.54,93.5803,93.54,93.4482,563.56,4338054,,,
act_LeakyReLU,0.001,32,Adam,LeakyReLU,none,5,93.8333,0.1479,0.1727,93.29,93.3454,93.29,93.2508,544.81,4338054,,,
act_GELU,0.001,32,Adam,GELU,none,5,93.85,0.1525,0.1667,93.31,93.3466,93.31,93.2911,527.57,4338054,,,
act_SiLU,0.001,32,Adam,SiLU,none,5,94.3167,0.153,0.1762,93.96,93.9656,93.96,93.9582,569.46,4338054,,,
pad_none,0.001,32,Adam,ReLU,none,5,93.7333,0.1521,0.1691,93.54,93.5803,93.54,93.4482,809.4,4338054,,,
pad_constant,0.001,32,Adam,ReLU,constant,5,94.2667,0.1488,0.1674,93.6,93.579,93.6,93.5736,600.58,4338054,,,
pad_reflect,0.001,32,Adam,ReLU,reflect,5,93.4333,0.1546,0.1891,93.59,93.5964,93.59,93.547,595.57,4338054,,,
